simulation_index,goal_1_final,goal_2_final,goal_3_final
187,61162.72257841378,6334944.598707992,1.0189142030708052e+19
188,918743.2414421628,131638046.56561832,1.8427033172509723e+21
189,793597.6669651286,4689162088766.132,7.354396474576255e+18
190,87719839100.0683,56285540969867.17,3.6536808092654065e+24
191,6243638.062811918,10829435875341.36,7.961373198819136e+17
192,156130985.92984673,526182703223.52386,3610918422004.3047
193,19249674428.967842,3189149305529.4497,7087892476483.8955
194,498362.22377461125,44933960039.787315,3.382914370579993e+24
195,6402305.584562678,2681805484.471782,2.1657978457747512e+18
196,1798026.965925597,926848444426.2455,11773486999636.844
197,303936864.456787,213564442.10469776,4.594253883455154e+22
198,20361165.39130429,101340284575515.5,1.3661764382774356e+21
199,354233516.69912606,837793268051.9697,2.1351190164213755e+18
200,96135494.28698637,24363015381.977978,6.3886833072461005e+19
201,40672.65663600736,2518252875.4269276,463626524160711.7
202,152396386.9543448,6503780.571525407,5.126896542356212e+19
203,1115641755.19486,260010781044.5364,1.7515872995483988e+16
204,385628387.30381304,55044699123.49779,1.053377573215721e+17
205,557.3609745018147,44912687846667.32,7.341122079622512e+25
206,265663578.1097381,103877551221.50325,3.2686094003205132e+19
207,21920.375525340576,62335473392696.97,1.6228755233646802e+16
208,37127537.44926878,372446762463.2027,2.9151386567482806e+19
209,6005879.490091319,13786965255.210989,7.3535411633936035e+25
210,203155200117.89365,11611496715.806156,1.719326818345037e+17
211,5287492.179827434,501474172.00240433,3.4516316182191313e+21
212,102634185.69308682,5.465952622608348e+18,2.3766326259453893e+20
213,140605.9510098675,41040195.27683514,1.5052974767003156e+20
214,140991764789.4238,1935444554895.747,1.095945729374999e+19
215,411535.027957724,8712267.334948136,2.0771546331972985e+19
216,25723010552.368065,450819600903.2925,87357384088097.1
217,45627779.25185493,18338109014312.055,84291112976016.56
218,323583597.05672276,52127619.08408623,915284698105066.9
219,74593.42827808691,1071370949.6407984,4.710323589048958e+23
220,11964046.46164187,9881228685851.873,1838299923883738.5
221,473771593.75057125,11376038779734.275,3.292190860242115e+19
222,744305192.2284737,1.4813722638235603e+17,47052529309214.97
223,502611152508.9533,542841331.563809,1.442303789301397e+17
224,333934727519.9084,22380894952.526665,3.3004604861949822e+22
225,232193.92447195004,2521790924532.723,1.6814044796454966e+21
226,326710.1003893396,14459701440.25423,11153955775810.928
227,4071070.2292256183,181101156686266.44,6.306289013484896e+17
228,10012.807864632145,220647037.1105554,7634533920385104.0
229,90750318.1405204,11959774499.057169,458686703577747.6
230,469245946.72739613,264229264.09308228,6.465332884156854e+17
231,61320126.5132338,54101839984.94075,3.001366631847499e+21
232,24553976098.97373,229879341.87854663,2449942236494.2124
233,1047925.1579884678,6371496807.864062,1984453934339.5645
234,52605619654.850426,767690520.1303823,172949330097417.8
235,1840904774612.1467,5408532278.1132145,7.224038145329247e+24
236,3871181.6252049557,522827923125430.56,255734669341675.78
237,24207626.789398935,5054699134741.162,1.5249852252835697e+21
238,18679172.54508421,35685.86807472765,6141125418806.59
239,61670.70708923689,46148600101.463684,20911254224764.664
240,20252425.74863555,94505134.80755234,1.9472023646829187e+19
241,22519.571509938618,3015626800644.3584,9171399563280430.0
242,801174.6996626223,632364864.1890188,3287072141342701.0
243,845491400.2530149,1057299421363.9891,4.5574170500672256e+18
244,12859374.657970415,305799344680907.06,7.534769620327843e+23
245,500611947.76292133,73008262429.93295,6.922174929988904e+17
246,2735722.1757091046,199678726938.34625,1.7918229025691082e+27
247,47867443.99199465,31812006817.60619,7.284647383519695e+17
248,160705016.40876168,308903866302806.94,4356448229454672.0
249,61731.47691951107,219206755.24303553,3.699963406532313e+20
250,2460063.786415049,14314918329403.457,7.682558073753182e+27
251,1718.664796119144,1920880922.4063597,2.63571992673865e+25
252,89676.38031195904,1901751597795.11,2.0899871571235193e+26
253,1215833993.419913,1786499.9458236839,4.2149255975663976e+16
254,3166759.619013295,7698621714.951426,8.814081403263548e+18
255,39155358.05169082,391761205089.0502,1.344312754260636e+19
256,18145804.45751138,3112649646.4788833,2.2419589256780186e+17
257,38957032855.38119,1509988721.7051165,7.27539829732395e+21
258,59931769975.983406,1298032260552.162,1243608753142974.0
259,167335.70164110346,11625477154304.492,41843191781985.05
260,710089258922.4445,357731826.20711356,48432084617.535255
261,99040679.08221595,67645651.13460368,1.7914992032203744e+27
262,40608507.77322355,271186.470962754,2.5784369109973757e+17
263,4126431451.690776,15345128.96257301,165225140886374.22
264,138563.74856977613,359834360041.73126,1.4768149704412746e+16
265,189359945.7985912,2983192881808598.5,67510608841818.086
266,3569376.213316621,836486.0934809574,1.627425861450824e+17
267,150248714.24553415,9972567.832644619,3.5182420890897944e+16
268,7261190.788671778,9455946614.73297,1.6956518392462925e+21
269,240322008996.94107,3.582249180607924e+17,5.267261234766584e+25
270,4328797.843233128,52824667.83823539,1.4015110158272939e+25
271,289967253.97550595,10985782.173835013,2.1135234511499944e+22
272,2295236.8248852375,1881957660232837.5,142737570794467.5
273,145731.05891154474,27597793596.7879,1.8251208881227584e+16
274,18369845126.90806,37335939419.04932,2.9097855920945636e+24
275,2510841.0072175483,40523384.69784845,7611234144.95041
276,4862.177717896498,2886818972615.0205,2.3738576320832984e+26
277,4486119.523944769,54660688548788.586,1.942394862892726e+16
278,11883547.7987586,596832464.3303419,1.7982926493415048e+18
279,183084.47074048652,3129795488.047509,2.232774299325248e+19
280,370986108.49839026,21349237.032978598,12242785771316.246
281,116216069747.41817,4206154469.74979,2.3768282168489395e+21
282,2001.151727591915,73302559339.7287,2.543649816170659e+27
283,474687102.47353315,5577195065.101316,4.495675076762984e+21
284,3981621.469451032,3028479051908.794,1.364165313552391e+23
285,15137987.231353393,1.5174025787567496e+16,4615008251983.729
286,9610237.877920277,706143979505.7428,5.588952049492139e+25
287,9223873.19070255,126026104.63747774,3.7438668434508994e+23
288,4514903.687184937,64927490.489253856,4.325767451349142e+19
289,333551747374.43854,597735039258.5193,7.1693379384292904e+16
290,4672802.613783173,2821454810.2436337,1522078662135.6138
291,1091.4205412561457,73321708805501.73,2407627102066205.0
292,1754245.0327088167,23549916.252749477,4.100990664262463e+20
293,9281.98638641111,133178860864.12407,1.1777853949211257e+21
294,15166215.421774717,54711590078.98238,1.1809107591099522e+23
295,47555642.12763051,41541882.48853948,12115626349698.416
296,47466119010.72075,778081960.826502,8.987756602879046e+17
297,1969156284.4595647,22029819239.082767,5.096089415282193e+20
298,133773921.03589006,52945068697730.836,6.892802137388471e+16
299,8367743122455.274,1.2879524437690578e+16,5197705359982755.0
300,37303214.71234849,4165152632786.156,4.67711032135438e+16
301,112512846.01298547,13094615953099.812,1171613640810.0273
302,31940659028.594936,346986936432.10175,577752241345.6508
303,693812.4954510971,120525543.45856814,6.153073908153594e+19
304,3415233.402897545,1.1700151322197701e+17,6.133907571027912e+19
305,3756079.4597116155,1645211616.8953001,7.269956430322514e+19
306,57626578.1086152,23605558.99899442,6.6237941536074024e+16
307,14380660.963067425,22719949056.021114,43309312079.26597
308,4.662717436322719,59190579699377.52,6.457296509247694e+19
309,9760227542.645397,116273331770725.62,1.0720302068969706e+23
310,31511578323.63721,179261040551.01184,3.9266685270297605e+18
311,11509814.393557569,284136797281.99036,8.383966717118755e+23
312,813641.2124493786,21977566000.323257,1.9875092463637053e+20
313,15820334.626531316,1229075440117246.8,4.813622268628645e+23
314,2510277351.3461328,106905653285666.17,501493553584676.75
315,1973795.8248819893,56207028458553.74,1135269373865104.8
316,23338.00216244159,11842665.939319577,4.896874145705386e+18
317,271724343.33255845,68297195741936.96,2.169151227515315e+25
318,8512896.91276534,59196972080.47217,4.531170016411e+16
319,395243658.4299113,51380385.896567784,7386449.822686641
320,5236263194.086004,5118411.511007184,9739166376427578.0
321,406.7032152061906,622527962.8966466,2.7906779179587606e+17
322,3111091874.874945,2.3197466630194813e+17,76917622509711.44
323,467131438803.9687,327025796.2357772,9.830683603350028e+23
324,1400141.825028018,1620753488.6098726,6.591539233240796e+19
325,2492257184.973179,131712313002616.66,2.5701525388610397e+23
326,424573.4785610093,5046484.861735865,1.0371125036695208e+18
327,6190.587021470849,1423454980395645.8,4.526598982487705e+22
328,43989889.037035935,22032181796905.707,1.558951080468143e+17
329,479529115.3304985,2.997617552328468e+16,3.303426928614739e+18
330,907774.2738191652,1.1256879124723454e+16,1.4921020766444799e+23
331,26295.91860732718,2980535881772.866,1.1351969934637295e+18
332,178668.84629214235,18230857814.824234,5.068342512743272e+30
333,8136358499.184765,24756933.27143555,85574299538897.28
334,18159492.832443263,784865.9679025133,2.631401171661576e+17
335,31055.937326749972,43925342.491202734,1.4151385959015723e+25
336,3385546.3558272733,2465314435.693418,1.7292874120174653e+22
337,216020.1385584671,525256196710.7193,1.4175338144403065e+24
338,8279.595639906232,355756654.34388566,4386486415057.656
339,76979.10968913672,7253837252.9196825,6.239912016562893e+16
340,71120567.34939174,18880014010.044228,3.272606938766905e+20
341,886511111.0733145,180266220.52147344,111851171798898.02
342,8056459081.052007,2057536504955947.8,2040866823863163.0
343,44968133154.82548,169161560706.0513,1.5324226405214112e+17
344,16250525.803022256,48236527537.77733,1407369237.3481984
345,141608219478.77216,4554662285.117623,2.8833560692980736e+18
346,629067443.2533756,1.0560419391643795e+17,1.6250750871020253e+23
347,139177631.71245474,33252797643.705566,3.0469827653458806e+18
348,19929284.59251983,822865791.659202,7.491801169549023e+17
349,157861486511.23282,68844375151178.91,1102601610121544.5
350,164794058.38458103,58817131031449.586,1099308530707788.4
351,44492.40709477625,206607173.12745103,9.819219658866156e+19
352,219059732.57798836,508099751.90402335,3.084780790706603e+23
